dates;jour;ferie;vacances;semestre
01/01/2013;mardi;1;HV;2013S1
02/01/2013;mercredi;0;HV;2013S1
03/01/2013;jeudi;0;HV;2013S1
04/01/2013;vendredi;0;HV;2013S1
05/01/2013;samedi;0;HV;2013S1
06/01/2013;dimanche;0;HV;2013S1
07/01/2013;lundi;0;HV;2013S1
08/01/2013;mardi;0;HV;2013S1
09/01/2013;mercredi;0;HV;2013S1
10/01/2013;jeudi;0;HV;2013S1
11/01/2013;vendredi;0;HV;2013S1
12/01/2013;samedi;0;HV;2013S1
13/01/2013;dimanche;0;HV;2013S1
14/01/2013;lundi;0;HV;2013S1
15/01/2013;mardi;0;HV;2013S1
16/01/2013;mercredi;0;HV;2013S1
17/01/2013;jeudi;0;HV;2013S1
18/01/2013;vendredi;0;HV;2013S1
19/01/2013;samedi;0;HV;2013S1
20/01/2013;dimanche;0;HV;2013S1
21/01/2013;lundi;0;HV;2013S1
22/01/2013;mardi;0;HV;2013S1
23/01/2013;mercredi;0;HV;2013S1
24/01/2013;jeudi;0;HV;2013S1
25/01/2013;vendredi;0;HV;2013S1
26/01/2013;samedi;0;HV;2013S1
27/01/2013;dimanche;0;HV;2013S1
28/01/2013;lundi;0;HV;2013S1
29/01/2013;mardi;0;HV;2013S1
30/01/2013;mercredi;0;HV;2013S1
31/01/2013;jeudi;0;HV;2013S1
01/02/2013;vendredi;0;HV;2013S1
02/02/2013;samedi;0;HV;2013S1
03/02/2013;dimanche;0;HV;2013S1
04/02/2013;lundi;0;HV;2013S1
05/02/2013;mardi;0;HV;2013S1
06/02/2013;mercredi;0;HV;2013S1
07/02/2013;jeudi;0;HV;2013S1
08/02/2013;vendredi;0;HV;2013S1
09/02/2013;samedi;0;HV;2013S1
10/02/2013;dimanche;0;HV;2013S1
11/02/2013;lundi;0;HV;2013S1
12/02/2013;mardi;0;HV;2013S1
13/02/2013;mercredi;0;HV;2013S1
14/02/2013;jeudi;0;HV;2013S1
15/02/2013;vendredi;0;HV;2013S1
16/02/2013;samedi;0;HV;2013S1
17/02/2013;dimanche;0;HV;2013S1
18/02/2013;lundi;0;HV;2013S1
19/02/2013;mardi;0;HV;2013S1
20/02/2013;mercredi;0;HV;2013S1
21/02/2013;jeudi;0;HV;2013S1
22/02/2013;vendredi;0;HV;2013S1
23/02/2013;samedi;0;HV;2013S1
24/02/2013;dimanche;0;HV;2013S1
25/02/2013;lundi;0;HV;2013S1
26/02/2013;mardi;0;HV;2013S1
27/02/2013;mercredi;0;HV;2013S1
28/02/2013;jeudi;0;HV;2013S1
01/03/2013;vendredi;0;HV;2013S1
02/03/2013;samedi;0;HV;2013S1
03/03/2013;dimanche;0;HV;2013S1
04/03/2013;lundi;0;HV;2013S1
05/03/2013;mardi;0;HV;2013S1
06/03/2013;mercredi;0;HV;2013S1
07/03/2013;jeudi;0;HV;2013S1
08/03/2013;vendredi;0;HV;2013S1
09/03/2013;samedi;0;HV;2013S1
10/03/2013;dimanche;0;HV;2013S1
11/03/2013;lundi;0;HV;2013S1
12/03/2013;mardi;0;HV;2013S1
13/03/2013;mercredi;0;HV;2013S1
14/03/2013;jeudi;0;HV;2013S1
15/03/2013;vendredi;0;HV;2013S1
16/03/2013;samedi;0;HV;2013S1
17/03/2013;dimanche;0;HV;2013S1
18/03/2013;lundi;0;HV;2013S1
19/03/2013;mardi;0;HV;2013S1
20/03/2013;mercredi;0;HV;2013S1
21/03/2013;jeudi;0;HV;2013S1
22/03/2013;vendredi;0;HV;2013S1
23/03/2013;samedi;0;HV;2013S1
24/03/2013;dimanche;0;HV;2013S1
25/03/2013;lundi;0;HV;2013S1
26/03/2013;mardi;0;HV;2013S1
27/03/2013;mercredi;0;HV;2013S1
28/03/2013;jeudi;0;HV;2013S1
29/03/2013;vendredi;0;HV;2013S1
30/03/2013;samedi;0;HV;2013S1
31/03/2013;dimanche;0;HV;2013S1
01/04/2013;lundi;1;HV;2013S1
02/04/2013;mardi;0;HV;2013S1
03/04/2013;mercredi;0;HV;2013S1
04/04/2013;jeudi;0;HV;2013S1
05/04/2013;vendredi;0;HV;2013S1
06/04/2013;samedi;0;HV;2013S1
07/04/2013;dimanche;0;HV;2013S1
08/04/2013;lundi;0;HV;2013S1
09/04/2013;mardi;0;HV;2013S1
10/04/2013;mercredi;0;HV;2013S1
11/04/2013;jeudi;0;HV;2013S1
12/04/2013;vendredi;0;HV;2013S1
13/04/2013;samedi;0;HV;2013S1
14/04/2013;dimanche;0;HV;2013S1
15/04/2013;lundi;0;HV;2013S1
16/04/2013;mardi;0;HV;2013S1
17/04/2013;mercredi;0;HV;2013S1
18/04/2013;jeudi;0;HV;2013S1
19/04/2013;vendredi;0;HV;2013S1
20/04/2013;samedi;0;HV;2013S1
21/04/2013;dimanche;0;HV;2013S1
22/04/2013;lundi;0;HV;2013S1
23/04/2013;mardi;0;HV;2013S1
24/04/2013;mercredi;0;HV;2013S1
25/04/2013;jeudi;0;HV;2013S1
26/04/2013;vendredi;0;HV;2013S1
27/04/2013;samedi;0;HV;2013S1
28/04/2013;dimanche;0;HV;2013S1
29/04/2013;lundi;0;HV;2013S1
30/04/2013;mardi;0;HV;2013S1
01/05/2013;mercredi;1;HV;2013S1
02/05/2013;jeudi;0;HV;2013S1
03/05/2013;vendredi;0;HV;2013S1
04/05/2013;samedi;0;HV;2013S1
05/05/2013;dimanche;0;HV;2013S1
06/05/2013;lundi;0;HV;2013S1
07/05/2013;mardi;0;HV;2013S1
08/05/2013;mercredi;1;HV;2013S1
09/05/2013;jeudi;1;HV;2013S1
10/05/2013;vendredi;0;HV;2013S1
11/05/2013;samedi;0;HV;2013S1
12/05/2013;dimanche;0;HV;2013S1
13/05/2013;lundi;0;HV;2013S1
14/05/2013;mardi;0;HV;2013S1
15/05/2013;mercredi;0;HV;2013S1
16/05/2013;jeudi;0;HV;2013S1
17/05/2013;vendredi;0;HV;2013S1
18/05/2013;samedi;0;HV;2013S1
19/05/2013;dimanche;0;HV;2013S1
20/05/2013;lundi;1;HV;2013S1
21/05/2013;mardi;0;HV;2013S1
22/05/2013;mercredi;0;HV;2013S1
23/05/2013;jeudi;0;HV;2013S1
24/05/2013;vendredi;0;HV;2013S1
25/05/2013;samedi;0;HV;2013S1
26/05/2013;dimanche;0;HV;2013S1
27/05/2013;lundi;0;HV;2013S1
28/05/2013;mardi;0;HV;2013S1
29/05/2013;mercredi;0;HV;2013S1
30/05/2013;jeudi;0;HV;2013S1
31/05/2013;vendredi;0;HV;2013S1
01/06/2013;samedi;0;HV;2013S1
02/06/2013;dimanche;0;HV;2013S1
03/06/2013;lundi;0;HV;2013S1
04/06/2013;mardi;0;HV;2013S1
05/06/2013;mercredi;0;HV;2013S1
06/06/2013;jeudi;0;HV;2013S1
07/06/2013;vendredi;0;HV;2013S1
08/06/2013;samedi;0;HV;2013S1
09/06/2013;dimanche;0;HV;2013S1
10/06/2013;lundi;0;HV;2013S1
11/06/2013;mardi;0;HV;2013S1
12/06/2013;mercredi;0;HV;2013S1
13/06/2013;jeudi;0;HV;2013S1
14/06/2013;vendredi;0;HV;2013S1
15/06/2013;samedi;0;HV;2013S1
16/06/2013;dimanche;0;HV;2013S1
17/06/2013;lundi;0;HV;2013S1
18/06/2013;mardi;0;HV;2013S1
19/06/2013;mercredi;0;HV;2013S1
20/06/2013;jeudi;0;HV;2013S1
21/06/2013;vendredi;0;HV;2013S1
22/06/2013;samedi;0;HV;2013S1
23/06/2013;dimanche;0;HV;2013S1
24/06/2013;lundi;0;HV;2013S1
25/06/2013;mardi;0;HV;2013S1
26/06/2013;mercredi;0;HV;2013S1
27/06/2013;jeudi;0;HV;2013S1
28/06/2013;vendredi;0;HV;2013S1
29/06/2013;samedi;0;HV;2013S1
30/06/2013;dimanche;0;HV;2013S1
01/07/2013;lundi;0;HV;2013S2
02/07/2013;mardi;0;HV;2013S2
03/07/2013;mercredi;0;HV;2013S2
04/07/2013;jeudi;0;HV;2013S2
05/07/2013;vendredi;0;HV;2013S2
06/07/2013;samedi;0;HV;2013S2
07/07/2013;dimanche;0;HV;2013S2
08/07/2013;lundi;0;HV;2013S2
09/07/2013;mardi;0;HV;2013S2
10/07/2013;mercredi;0;HV;2013S2
11/07/2013;jeudi;0;HV;2013S2
12/07/2013;vendredi;0;HV;2013S2
13/07/2013;samedi;0;HV;2013S2
