date/heure;NO;NO2;PM10;CO2;TEMP;HUMI
2021-10-18T02:00:00+02:00;9;44;34;516;20,3;40,9
2021-10-18T01:00:00+02:00;7;46;35;512;20,5;40,6
2021-10-18T00:00:00+02:00;6;44;42;522;20,7;40,5
2021-10-17T23:00:00+02:00;7;40;48;532;20,2;40,8
2021-10-17T22:00:00+02:00;5;37;50;551;19,9;39,6
2021-10-17T21:00:00+02:00;5;32;52;578;20,1;37,7
2021-10-17T20:00:00+02:00;4;27;52;595;20,4;36,9
2021-10-17T19:00:00+02:00;4;25;39;605;20,5;36,4
2021-10-17T18:00:00+02:00;3;23;28;632;20,6;36,7
2021-10-17T17:00:00+02:00;5;28;26;607;20,5;38
2021-10-17T16:00:00+02:00;2;26;25;612;20,3;37,7
2021-10-17T15:00:00+02:00;2;22;22;610;19,9;38,3
2021-10-17T14:00:00+02:00;2;24;33;636;19,5;39,9
2021-10-17T13:00:00+02:00;7;34;36;639;18,6;43,4
2021-10-17T12:00:00+02:00;6;33;49;605;18,4;44,9
2021-10-17T11:00:00+02:00;4;34;27;536;17,9;45,8
2021-10-17T10:00:00+02:00;5;37;32;518;18,2;45,1
2021-10-17T09:00:00+02:00;14;47;20;515;19,4;41,8
2021-10-17T08:00:00+02:00;4;44;17;509;19,9;40,9
2021-10-17T07:00:00+02:00;15;57;26;499;20,2;39,6
2021-10-17T06:00:00+02:00;25;65;32;508;20,6;38
2021-10-17T05:00:00+02:00;27;66;43;503;20,7;37,7
2021-10-17T04:00:00+02:00;26;66;41;514;20,7;38,5
2021-10-17T03:00:00+02:00;18;61;40;520;20,8;38,2
2021-10-17T02:00:00+02:00;9;55;36;531;20,9;37,1
2021-10-17T01:00:00+02:00;11;58;37;528;21,2;36
2021-10-17T00:00:00+02:00;13;57;54;552;21,3;37,9
2021-10-16T23:00:00+02:00;9;50;54;556;20,7;39,3
2021-10-16T22:00:00+02:00;6;38;50;578;20,7;39,1
2021-10-16T21:00:00+02:00;7;38;55;609;21;37,2
2021-10-16T20:00:00+02:00;8;41;43;614;20,9;36,1
2021-10-16T19:00:00+02:00;7;37;36;639;21,1;36,9
2021-10-16T18:00:00+02:00;7;39;31;629;21;37
2021-10-16T17:00:00+02:00;6;36;43;589;20,7;38,5
2021-10-16T16:00:00+02:00;7;43;18;575;20,5;40,6
2021-10-16T15:00:00+02:00;14;51;18;546;20,2;42,3
2021-10-16T14:00:00+02:00;12;44;31;534;19,9;43,6
2021-10-16T13:00:00+02:00;23;42;38;529;18,9;48,6
2021-10-16T12:00:00+02:00;17;38;40;510;18,8;50
2021-10-16T11:00:00+02:00;7;33;25;490;18,9;49,5
2021-10-16T10:00:00+02:00;6;33;22;486;19;49,4
2021-10-16T09:00:00+02:00;7;38;13;483;20,1;47,2
2021-10-16T08:00:00+02:00;3;30;9;471;20,3;47,2
2021-10-16T07:00:00+02:00;2;29;8;461;20,7;46,7
2021-10-16T06:00:00+02:00;4;30;25;457;21;46,9
2021-10-16T05:00:00+02:00;8;32;24;460;21,1;47,7
2021-10-16T04:00:00+02:00;13;37;27;476;21,1;49,3
2021-10-16T03:00:00+02:00;17;36;21;506;21,2;51,7
2021-10-16T02:00:00+02:00;12;33;35;529;21,4;52,6
2021-10-16T01:00:00+02:00;14;36;50;510;21,5;52,1
2021-10-16T00:00:00+02:00;14;43;68;527;21,6;50,9
2021-10-15T23:00:00+02:00;21;61;79;552;21,2;49,7
2021-10-15T22:00:00+02:00;16;51;92;592;21,1;49,9
2021-10-15T21:00:00+02:00;10;39;103;599;21;48,9
2021-10-15T20:00:00+02:00;9;35;86;600;20,9;48,6
2021-10-15T19:00:00+02:00;8;37;35;597;21,1;47,6
2021-10-15T18:00:00+02:00;9;48;28;563;21,1;46,3
2021-10-15T17:00:00+02:00;13;55;25;556;20,9;45,5
2021-10-15T16:00:00+02:00;ND;ND;40;ND;20,7;46
2021-10-15T15:00:00+02:00;36;66;41;589;20,2;43,9
2021-10-15T14:00:00+02:00;53;68;60;568;20;42,5
2021-10-15T13:00:00+02:00;112;62;110;597;19,3;46,3
2021-10-15T12:00:00+02:00;127;53;142;662;19,1;48,2
2021-10-15T11:00:00+02:00;105;50;106;631;19,1;47,6
2021-10-15T10:00:00+02:00;77;49;60;581;18,8;47,5
2021-10-15T09:00:00+02:00;93;51;30;577;19,5;44,8
2021-10-15T08:00:00+02:00;73;56;27;543;19,9;43,5
2021-10-15T07:00:00+02:00;15;58;23;468;20,2;41,4
2021-10-15T06:00:00+02:00;33;64;28;472;20,4;41
2021-10-15T05:00:00+02:00;35;67;41;475;20,7;40,3
2021-10-15T04:00:00+02:00;61;68;46;488;20,9;40,8
2021-10-15T03:00:00+02:00;56;68;43;515;20,8;41,4
2021-10-15T02:00:00+02:00;26;64;49;510;21,1;40
2021-10-15T01:00:00+02:00;58;72;68;536;21,2;39,8
2021-10-15T00:00:00+02:00;28;66;70;526;21,1;40
2021-10-14T23:00:00+02:00;45;72;93;556;20,7;40,9
2021-10-14T22:00:00+02:00;27;66;106;606;20,7;39,4
2021-10-14T21:00:00+02:00;10;49;112;606;20,7;37,8
2021-10-14T20:00:00+02:00;7;47;64;573;20,5;36,3
2021-10-14T19:00:00+02:00;10;52;52;561;20,8;36,1
2021-10-14T18:00:00+02:00;14;61;27;549;20,8;36,4
2021-10-14T17:00:00+02:00;17;64;18;540;20,6;36
2021-10-14T16:00:00+02:00;10;54;22;535;20,4;36,4
2021-10-14T15:00:00+02:00;13;55;29;559;20,2;37,9
2021-10-14T14:00:00+02:00;26;59;53;540;19,8;40,4
2021-10-14T13:00:00+02:00;74;58;123;585;19,1;43,5
2021-10-14T12:00:00+02:00;153;54;146;709;18,9;46,5
2021-10-14T11:00:00+02:00;217;58;122;708;18,5;47,5
2021-10-14T10:00:00+02:00;120;45;69;618;18,4;46,4
2021-10-14T09:00:00+02:00;90;46;22;567;19,2;44
2021-10-14T08:00:00+02:00;73;45;16;557;19,5;44
2021-10-14T07:00:00+02:00;79;50;22;541;19,6;44,6
2021-10-14T06:00:00+02:00;98;54;104;552;19,9;49,8
2021-10-14T05:00:00+02:00;92;59;73;537;20,3;43,1
2021-10-14T04:00:00+02:00;140;62;56;553;20,6;42,8
