CODE_STIF_TRNS;CODE_STIF_RES;CODE_STIF_ARRET;LIBELLE_ARRET;ID_REFA_LDA;CAT_JOUR;TRNC_HORR_60;pourc_validations
100;110;774;SAINT-MAUR;71795;DIJFP;1H-2H;0.12
100;110;774;SAINT-MAUR;71795;DIJFP;7H-8H;1.47
100;110;774;SAINT-MAUR;71795;DIJFP;9H-10H;4.42
100;110;774;SAINT-MAUR;71795;JOHV;12H-13H;5.77
100;110;774;SAINT-MAUR;71795;JOHV;16H-17H;8.81
100;110;774;SAINT-MAUR;71795;JOHV;19H-20H;4.86
100;110;774;SAINT-MAUR;71795;JOHV;1H-2H;0.06
100;110;774;SAINT-MAUR;71795;JOVS;11H-12H;4.84
100;110;774;SAINT-MAUR;71795;JOVS;13H-14H;6.28
100;110;774;SAINT-MAUR;71795;JOVS;14H-15H;6.31
100;110;774;SAINT-MAUR;71795;JOVS;1H-2H;0.04
100;110;774;SAINT-MAUR;71795;JOVS;21H-22H;0.91
100;110;774;SAINT-MAUR;71795;JOVS;3H-4H;0.0
100;110;774;SAINT-MAUR;71795;SAHV;12H-13H;7.81
100;110;774;SAINT-MAUR;71795;SAHV;13H-14H;7.96
100;110;774;SAINT-MAUR;71795;SAHV;14H-15H;9.6
100;110;774;SAINT-MAUR;71795;SAHV;17H-18H;10.26
100;110;774;SAINT-MAUR;71795;SAHV;23H-0H;1.06
100;110;774;SAINT-MAUR;71795;SAHV;7H-8H;2.26
100;110;774;SAINT-MAUR;71795;SAHV;9H-10H;4.84
100;110;774;SAINT-MAUR;71795;SAVS;1H-2H;0.12
100;110;774;SAINT-MAUR;71795;SAVS;22H-23H;0.74
100;110;776;SAINT-MICHEL;73620;DIJFP;10H-11H;1.21
100;110;776;SAINT-MICHEL;73620;DIJFP;20H-21H;3.36
100;110;776;SAINT-MICHEL;73620;DIJFP;23H-0H;0.2
100;110;776;SAINT-MICHEL;73620;DIJFP;4H-5H;0.0
100;110;776;SAINT-MICHEL;73620;JOHV;10H-11H;4.39
100;110;776;SAINT-MICHEL;73620;JOHV;12H-13H;5.29
100;110;776;SAINT-MICHEL;73620;JOHV;17H-18H;9.79
100;110;776;SAINT-MICHEL;73620;JOHV;19H-20H;4.96
100;110;776;SAINT-MICHEL;73620;JOHV;20H-21H;2.71
100;110;776;SAINT-MICHEL;73620;JOHV;2H-3H;0.01
100;110;776;SAINT-MICHEL;73620;JOHV;6H-7H;2.87
100;110;776;SAINT-MICHEL;73620;JOHV;8H-9H;11.02
100;110;776;SAINT-MICHEL;73620;JOVS;11H-12H;4.81
100;110;776;SAINT-MICHEL;73620;JOVS;1H-2H;0.01
100;110;776;SAINT-MICHEL;73620;JOVS;20H-21H;1.33
100;110;776;SAINT-MICHEL;73620;JOVS;21H-22H;0.64
100;110;776;SAINT-MICHEL;73620;JOVS;3H-4H;0.01
100;110;776;SAINT-MICHEL;73620;JOVS;5H-6H;0.86
100;110;776;SAINT-MICHEL;73620;SAHV;12H-13H;6.92
100;110;776;SAINT-MICHEL;73620;SAHV;15H-16H;9.41
100;110;776;SAINT-MICHEL;73620;SAHV;22H-23H;1.77
100;110;776;SAINT-MICHEL;73620;SAHV;23H-0H;1.45
100;110;776;SAINT-MICHEL;73620;SAHV;5H-6H;0.38
100;110;776;SAINT-MICHEL;73620;SAHV;7H-8H;2.33
100;110;776;SAINT-MICHEL;73620;SAHV;8H-9H;2.79
100;110;776;SAINT-MICHEL;73620;SAVS;0H-1H;0.11
100;110;776;SAINT-MICHEL;73620;SAVS;11H-12H;5.49
100;110;776;SAINT-MICHEL;73620;SAVS;16H-17H;13.56
100;110;776;SAINT-MICHEL;73620;SAVS;18H-19H;9.05
100;110;776;SAINT-MICHEL;73620;SAVS;19H-20H;3.16
100;110;776;SAINT-MICHEL;73620;SAVS;2H-3H;0.01
100;110;776;SAINT-MICHEL;73620;SAVS;7H-8H;2.3
100;110;777;SAINT-PAUL (LE MARAIS);71222;DIJFP;10H-11H;3.27
100;110;777;SAINT-PAUL (LE MARAIS);71222;DIJFP;11H-12H;4.96
100;110;777;SAINT-PAUL (LE MARAIS);71222;DIJFP;13H-14H;6.76
100;110;777;SAINT-PAUL (LE MARAIS);71222;DIJFP;18H-19H;12.7
100;110;777;SAINT-PAUL (LE MARAIS);71222;DIJFP;9H-10H;2.19
100;110;777;SAINT-PAUL (LE MARAIS);71222;JOHV;12H-13H;6.57
100;110;777;SAINT-PAUL (LE MARAIS);71222;JOHV;15H-16H;8.17
