debut application;fin application;mise a jour;status;cause;titre du message;corps du message;type objet;code objet référentiel IdFM
2021-04-07T13:00:00+02:00;2022-01-04T00:00:00+01:00;2021-04-07T13:09:48+02:00;active;travaux;Ligne 5 - Du 19/04/21 au 03/01/2022 - Déviation secteur Avenue Debasseux vers Coeur de Bourg uniquement;"<p>Suite à des travaux avenue Debasseux au Chesnay-Rocquencourt, les arrêts suivant ne peuvent plus être desservis uniquement vers Coeur de Bourg :</p><p>- Saint-Jean : reportez-vous à l'arrêt Saint-Jean des lignes 1 et 3 situé avenue Foch</p><p>- Reine Amélie de Portugal : reportez-vous à l'arrêt Place de la Loi</p><p><a href=""https://www.phebus.tm.fr/fileadmin/Sites/Phebus/SE_DEPLACER/Affiches_deviations/Ligne_5_-_Du_19_avril_2021_au_3_janvier_2022_-_Deviation_secteur_Reine_Amelie_de_Portugal.pdf"" target=""_blank"">Cliquez ici pour ouvrir le plan de déviation</a></p>";line;C00696
2021-03-24T18:40:00+01:00;2022-04-30T21:40:00+02:00;2021-03-24T18:43:04+01:00;active;travaux;Keolis Val d'Oise bus A : Arrêt ZAE CHEMIN VERT non desservi;"<p><b>À partir du jeudi 25 mars 2021 jusqu’à la fin des travaux</b></p><p>En raison de travaux de voirie, l’arrêt ZAE CHEMIN VERT ne sera pas desservi.</p><p>Veuillez-vous reporter à l’arrêt provisoire, situé sur la route de Clermont, plan ci-dessous, où s’effectueront également les départs et terminus de la ligne A.</p><p>Nous vous prions de bien vouloir nous excuser pour la gêne occasionnée.</p><p><a href=""https://www.keolis-valdoise.com/se-deplacer/voir-toutes-les-infos-trafic/detail-de-linfo-trafic/trafic/main/Alerte/arret-zae-chemin-vert/"" target=""_blank"">en savoir plus</a><br></p>";line;C01659
2021-11-29T22:00:00+01:00;2021-12-03T06:00:00+01:00;2021-11-23T13:40:02+01:00;future;perturbation;RESEAU SENART  DEVIATION L. 53-11 DU 29/11 -03/12;"<p><div class=""fckcontainer"">Du Vendredi 29 novembre au 03 décembre 2021 <br> de 21h00 à 05h00<br>En raison des travaux de voirie, rue Sommeville à Combs la ville, et à la fermeture de celle-ci, une déviation est mise en place. <br>L’arrêt « Collège les Aulnes » situé rue Jean Moulin sera desservi exceptionnellement durant cette période. <br>Les arrêts suivants ne seront pas desservis <br>« Marché »<br>« Place de l’an 2000 » <br>« Monuments aux morts » <br>«  Paloisel »<br>Nous vous prions de bien vouloir nous excuser de la gêne occasionnée.</div><a href='https://www.transdev-idf.com/horaire-ligne-53-senart_519'>En savoir plus sur cette information.</a></p>";line;C00861
2021-11-24T01:00:00+01:00;2021-12-18T00:59:00+01:00;2021-11-24T17:50:03+01:00;active;perturbation;BRUNOY - Avenue du Général Goutierre (A);"<p><div class=""fckcontainer""><br><p>En raison des travaux Avenue du G&eacute";line;C00580
2021-10-23T02:00:00+02:00;2021-12-05T00:59:00+01:00;2021-10-19T04:05:00+02:00;active;perturbation;ORSAY - L 7;"<p><div class=""fckcontainer""><p><span class=""underline"">Chaque samedi &agrave";line;C00072
2021-11-17T00:00:00+01:00;2021-11-17T04:00:00+01:00;2021-10-26T10:00:06+02:00;future;travaux;Ligne N : Paris Montp. - Rambouillet 02/11-03/12;"<p>Période : en fin de soirée.<br>Dates : du mardi 02 novembre au vendredi 03 décembre, sauf les samedis, les dimanches et le jeudi 11 novembre.<br>Le trafic est interrompu entre Paris Montparnasse et Rambouillet.<br>Un service de bus de remplacement est mis en place, avec desserte des gares intermédiaires.<br><a href=""https://www.transilien.com/sites/transilien/files/sentinelle-20211102-n-pmp-rbt-jsq3dec-v2 v2.pdf"" target="""">Pour plus d'informations, cliquez ici pour télécharger l'affiche PDF.</a><br>Les horaires du calculateur d'itinéraire tiennent compte des travaux.<br>Motif : travaux.</p>";line;C01736
2018-12-20T01:00:00+01:00;2022-01-01T00:59:00+01:00;2019-01-26T01:13:13+01:00;active;perturbation;Suite a un changement de calendrier, le report initialement prevu demain jeudi20/12/18 est ANNULÉ. L'affectation des quais en GRH reste inchangee.Merci de votre comprehension.|En savoir plus sur cette information|https://www.transdev-idf.com/horaire-ligne-j-bus_en_seine_016;HOUILLES - Report des quais ANNULÉ.;line;C00316
2021-11-30T20:30:00+01:00;2021-12-01T04:30:00+01:00;2021-11-26T11:50:01+01:00;future;perturbation;Ligne 607 - Nuit du 30 novembre 2021;"<p><div class=""fckcontainer""><p>En raison de reconstitution judiciaire, les arr&ecirc";line;C01578
2021-11-25T21:00:00+01:00;2021-11-26T04:00:00+01:00;2021-11-25T12:35:06+01:00;future;travaux;Ligne C : Henri Martin - Pontoise 15-30/11;"<p>Période : à partir de 20h00.<br>Dates : du lundi au vendredi, du 15 au 30 novembre.<br>Le trafic est interrompu :<br>- entre Ermont Eaubonne et Pontoise à partir de 20h00.<br>- entre Avenue Henri Martin et Pontoise à partir de 22h00.<br>Un service de bus de remplacement est mis en place, avec desserte des gares intermédiaires.<br><a href=""https://www.transilien.com/sites/transilien/files/2021-10/20211115-C-S%2046%20%C3%A0%20S%2047%20AHM%20PSE%20Novembre%202021%20%28003%29.pdf "" target="""">Pour plus d'informations du 15 au 26 novembre, cliquez ici pour télécharger l'affiche PDF.</a><br><a href=""https://www.transilien.com/sites/transilien/files/sentinelle-20211129-ahm-pse-29et30nov.pdf"" target="""">Pour plus d'informations du 29 au 30 novembre, cliquez ici pour télécharger l'affiche PDF.</a><br>Les horaires du calculateur d'itinéraire tiennent compte des travaux.<br>Motif : travaux.</p>";line;C01727
2021-12-02T05:00:00+01:00;2021-12-03T03:00:00+01:00;2021-11-02T15:10:08+01:00;active;travaux;Ligne R : horaires modifiés du 2/11 au 11/12;<p>Période : toute la journée.<br>Dates : du 2 novembre au 11 décembre.<br>Certains horaires dans les gares de passage peuvent être modifiés de quelques minutes.<br>Les horaires du calculateur d'itinéraire tiennent compte des travaux.<br>Motif : travaux d'infrastructure entre Fontainebleau et Thomery.</p>;line;C01731
